Country Name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Afghanistan	219.1413528	250.2941299	272.563077	369.835796	373.3611163	445.8932979	553.3002894	603.5370231	669.0090509	638.6125432	629.3452504	569.5779229	561.7787463	585.8500638
Angola	1041.087109	1443.991924	2062.415212	2878.837305	3868.579014	3347.8449	3531.416878	4299.008136	4539.467689	4804.633826	4707.578098	3683.552607	3308.772828	4170.31228
Albania	2416.588235	2709.142931	3005.012903	3603.013685	4370.539647	4114.136545	4094.358832	4437.178068	4247.614308	4413.081697	4578.666728	3952.830781	4131.872341	4537.862492
United Arab Emirates	36161.17061	39439.80197	42372.22166	42672.61323	45758.90554	33072.57517	35037.89267	40434.36635	42086.68995	43315.14149	44443.06151	39122.04971	38517.80039	40698.84934
Argentina	4251.574348	5076.883829	5878.761027	7193.61764	8953.359275	8161.306966	10276.2605	12726.90836	12969.70712	12976.63642	12245.25645	13698.29344	12654.355	14401.97485
Armenia	1191.96192	1643.758543	2158.002909	3138.808703	4010.026997	2993.832531	3218.381655	3526.978143	3684.80481	3843.591213	3994.712355	3617.935746	3605.743117	3936.79832
Antigua and Barbuda	10419.3112	11452.7388	12812.76447	14350.91905	14797.36842	13082.28166	12174.69786	11931.20411	12517.55793	12194.60876	12946.98694	13659.14791	14462.17628	15021.73818
Australia	30401.55479	33961.6818	36019.20305	40905.47089	49535.25787	42709.8033	51936.88871	62411.78545	67864.68986	67990.29003	62327.55594	56561.41238	49896.6811	53799.93809
Austria	36821.52147	38403.13388	40635.28182	46855.77175	51708.76575	47963.1794	46858.04327	51374.95841	48567.69529	50716.70871	51704.54119	44206.78428	44731.01086	47290.91165
Azerbaijan	1045.02163	1578.40239	2473.081819	3851.437869	5574.603802	4950.294791	5842.805784	7189.691229	7496.294648	7875.756953	7891.313147	5500.310382	3880.738731	4131.61831
Burundi	127.4296648	150.5070434	165.8794176	170.7999005	196.2472628	204.9446502	231.1943256	260.4799073	265.2856051	282.7555252	312.7489794	300.6765569	285.7274421	320.0868701
Belgium	35589.68912	36967.25918	38852.37293	44403.7669	48424.5756	44880.57302	44380.17663	47702.81189	44740.58325	46582.66955	47351.97418	40361.15419	41260.97755	43323.80734
Benin	583.4093514	601.799977	625.830092	706.0535419	820.1513498	793.45243	757.6959074	825.9427854	837.9505001	915.3281554	943.686575	783.9630778	788.5324424	829.7972306
Burkina Faso	371.3230865	406.9988071	420.5825233	475.1100122	569.7612784	552.7455521	575.4464527	666.8404101	673.8228182	699.781537	703.8216565	575.3144542	613.9931275	670.7059131
Bangladesh	460.7579167	484.1554071	494.0501466	541.0651484	615.7775411	681.1205368	757.6717572	835.7893401	856.342857	951.8894535	1084.56543	1210.158769	1358.779029	1516.513423
Bulgaria	3363.799644	3869.529455	4490.201777	5885.949252	7261.754492	6969.558557	6843.26695	7813.806692	7378.02473	7674.861867	7853.332937	6993.475544	7469.447703	8031.598442
Bahrain	15846.47641	17959.17854	19307.99549	20977.11053	23067.56535	19356.67236	20722.10389	22512.1596	23649.36661	24737.17178	24983.37902	22688.87824	22560.58127	23655.0356
"Bahamas, The"	28076.1551	29874.65414	30274.99032	31018.02949	30188.48444	28129.6075	27979.11493	27472.25617	28815.5274	28171.986	28671.34697	30483.8201	30260.30591	30762.01244
Bosnia and Herzegovina	2650.642661	2968.411806	3404.321698	4180.292176	5078.314577	4701.334426	4614.829041	5054.325344	4722.013403	5042.582213	5204.243718	4584.242548	4808.636043	5180.636301
Belarus	2378.623286	3125.810535	3847.434124	4735.657608	6377.369732	5176.26383	6029.3968	6519.230195	6940.159254	7978.872615	8318.51269	5949.106307	5022.626643	5726.029673
Belize	3831.538019	3933.332215	4187.37803	4324.876427	4470.220796	4258.788611	4344.150177	4517.137719	4673.791435	4685.249476	4844.981859	4950.256062	4960.181794	4905.506284
Bolivia	978.3346485	1046.427384	1233.594435	1389.637343	1736.935051	1776.866476	1981.160705	2377.675918	2645.227753	2947.938526	3124.00031	3077.026199	3117.330459	3393.955818
Brazil	3623.049912	4770.183845	5860.145829	7313.557773	8787.610658	8553.381368	11224.15408	13167.47289	12291.46685	12216.90446	12026.61939	8750.222996	8639.365743	9821.407686
